,Question,Right answer
872,"What is the year of the event which occurred first, Vessel was released, or Debut was released?",1993
873,"Otryadyn Gündegmaa, is a Mongolian sports shooter, she competed in 10 m and 25 m pistol events at the 1996 Summer Olympics, known officially as the Games of the XXVI Olympiad and unofficially as the Centennial Olympic Games, was a major international multi-sport event that took place in Atlanta, Georgia, from July 19 to August 4, 1996, in which country?",United States
874,"Ettore or Edoardo Ettore Forti was an Italian painter, who was prolific in depicting realistic Neo-Pompeian scenes of Ancient Roman life and events, these subjects were popular in the late-Victorian period, as exemplified by the popularity of Lawrence Alma-Tadema, born in Dronrijp, in which country?",Netherlands
875,"Which band-mate of Joe Perry's co-wrote ""Monkey On My Back"" and is known as the ""Demon of Screamin""?",Steven Tyler
876,What caucus is the current Representative from Texas's 6th congressional district a member of?,Tea Party Caucus
877,Vladimir Yaroshenko was a soloist with the choreographer who dominated Russian ballet for how many years?,30
878,"Martha Graham was an American modern dancer and choreographer, her style, reshaped American dance and is still taught worldwide, the Graham technique, is a modern dance movement style, and pedagogy created by the American dancer and choreographer Martha Graham, born on which date?","May 11, 1894"
879,Lacu is a dummer from a sovereign state in Norther Europ whose population in 2016 was what?,5.5 million
880,Who was the goalkeeper who blocked the most decorated English footballer player of all time?,Jens Lehmann
881,What is the French name of the bay into which the Big Salon River flows?,Baie de Fundy
882,"In the 2016 romantic drama ""Me Before You"" directed by Thea Sharrock, Sam Claflin (who also appears in The Hunger Games) stars as which character?",Will Traynor
883,"The Stage"" is a song by Avenged Sevenfold and the first single from their seventh studio album of the same name, which was released on which date?","October 28, 2016"
884,What type of vegetation does Cerastium and Pavonia have in common?,plants
885,Are A Tiger Walks and A Kid in King Arthur's Court both family films?,yes
886,"Daniel Heartz is an American musicologist and Professor emeritus of Music at which public research university located in Berkeley, California?","University of California, Berkeley"
887,"When is the cast in The Guardians born that is a South Korean singer, actor, fashion designer and television presenter?","September 23, 1991"
888,Are Sparta and King Charles both from the same country?,no
889,Ray Winstone appeared in what 2005 French-British computer-animated adventure fantasy that was based on a TV series?,The Magic Roundabout
890,"Which actress had roles in the movies ""Janie Jones"" and ""Signs""?",Abigail Breslin
891,What retired American soccer player is the head coach of the team owned by Anthony Precourt and Precourt Sports Ventures LLC?,Gregg Berhalter
892,Which city in China is a prefecture-level city Xinzhou or Guanghan,Xinzhou () is a prefecture-level city
893,"South Somercotes is a village and civil parish 8 mi north-east from Louth and approximately 2 mi south from which coastal village in the East Lindsey district, and the Marshes area, of Lincolnshire, England?",North Somercotes
894,"What number post-Beatles album of Paul McCartney did ""No Words"" appear on?",fifth
895,What is the city that Victor Estrada was born in officially know as?,Heroica Matamoros
896,"Highway 42 runs northwest from where Highway 24 crosses the BNSF Railway's Northern Transcon, a route operated by what Railway?",BNSF
897,Who developed the game which Folkenstal features weapons and armors in a cosplay?,ZeniMax Online Studios
898,How is Scott Speedman and Michael Corvin related?,Underworld
899,A 2005 French-language Canadian coming of age drama features artists including an American country music singer who died in the crash of a plane belonging to who?,Randy Hughes
900,"Downton is a civil parish in Herefordshire, located in the north of the county and containing the village of Downton-on-the-Rock, in which manuscript record of the ""Great Survey"" of much of England and parts of Wales completed in 1086, Downton is referred to as ""Duntune"", meaning ""hill settlement""?",Domesday Book
901,"What high school did NFL quarterback, Heisman winner, and OU football player graduate from?",Putnam City North High School
902,"What actress starred with James Franco in Palo Alto and played Kristina Jung in ""Blow""?",Emma Roberts
903,"Stainby is a hamlet in the South Kesteven district of Lincolnshire, and is situated 2 mi west from the A1 road, the A1 is the longest numbered road in which country?",UK
904,"In addition to A Bayou Legend, how many other works did William Grant Still compose?","more than 150 works, including five symphonies and eight operas."
905,"Jim Keller is a microprocessor engineer most well known for his work at AMD and Apple, he was involved in designing which 32-bit package on package (PoP) system-on-a-chip (SoC) designed by Apple Inc. and manufactured by Samsung?",Apple A4
906,Which television series did Deborah Ann Woll play in that was a spin-off of Marvel's Daredevil?,The Punisher
907,Where was the British singer-songwriter who composed The Princess Bride's soundtrack born?,Glasgow
908,Are Braque d'Auvergne and Griffon Fauve de Bretagne both breeds originating in France ?,yes
909,Amara Karan made her debut as the love interest in the film by the director of what nationality?,American
910,"What Golden Globe nominated American actor from Juilliard School played a role in the 1986 romantic drama film, Children of a Lesser God, directed by Randa Haines?",William Hurt
911,"Edwin van der Sar spoke to the crowd after the fireworks incident on April 20, 2014 during the KNVB Cup final match. Which team won that game?",Zwolle
912,Lynyrd Skynyrd lost three members in a crash of a plane that was chartered from which company?,L&J Company
913,Alvarezsauroidea was named after a physicist who won the Nobel Prize in Physics in what year?,1968
914,"The World's Best Prom and Shape of the Moon, are films of which genre?",documentary
915,Jack Harvey was born in a civil parish that as of 2011 had a population of what?,"1,425"
916,What county in Nevada contains both the City of Las Vegas and the College of Southern Nevada?,Clark County
917,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern
918,Who airs the cartoon developed by Nicholas Boshier?,Australian Broadcasting Corporation
919,The Genève-Servette HC competes in a league know by what name prior to the 2017-2018 season?,National League A.
920,"Which Norwegian actress performed in Anton Checkhov's ""Three Sisters"" as well as a three-act play written by Henrik Ibsen set in Norway around 1879?",Gisken Armand Lillo-Stenberg
921,"Are Monastery of the Transfiguration, Kinaliada and Süreyya Opera House both Greek Orthodox monasteries?",no
922,"Which of these has its entrance in Piyer Loti Caddesi, Hagia Sophia or Theodosius Cistern?",Theodosius Cistern
923,"A major character in the 2000 novel ""Storm Front"" had her name changed to what when the novel series was adapted for television?",Connie Murphy
924,Reader's Digest and Scientific American are both what?,magazine
925,What do it yourself magazine does William Gurstelle write for?,Make
926,"Andover, located in Essex County, Massachusetts, is an example of a basic unit of local government and local division of state authority in each of the six New England states, commonly referred to in other states as what?",cities
927,"While both singer-songwriters have displayed incredible talent, what sets Robert Palmer apart from Wayne Coyne, causing him to gain populatiry in two continents?",eclectic mix of musical styles
928,Waht kind of music do the bands Nada Surf and Madina Lake play?,alternative rock
929,"Which documentary, Crumb or Cancer, was produced first?",Crumb
930,the made for television biopic Ishi: The Last of His Tribe based on Alfred L. Kroeber is about what tribe?,the Yahi tribe
931,"What language was the radio station which played oldies from artists such as Leopoldo Dante Tévez, broadcasted in?",Spanish
932,"What was the screenplay novelist, Caroline Thompson, base in an Victorian era village for Victor and Emily?",Corpse Bride
933,"What was the job title of this American engineer and former astronaut aboard Apollo 11, who inspired the musical Moon Landing?",Lunar Module Pilot
934,"The song ""Good Life"" recorded by G-Eazy and Kehlani appeared on the soundtrack for what 2017 action film directed by F. Gary Gray?",The Fate of the Furious
935,When was the 15th pick of the 2011 NFL born ?,"July 24, 1989"
936,"Which man, Ben Bagdikian or Eddie Mekka, is most famous for his role as Carmine ""The Big Ragu"" Ragusa on the sitcom ""Laverne & Shirley""?",Eddie Mekka
937,"Mfon Sunday Udoka, is a Nigerian American former professional basketball player and the new Assistant Coach of the Nigeria women's national basketball team the Lady Tigers, she's the sister of NBA player Ime Sunday Udoka, a Nigerian-American former professional basketball player, and current assistant coach for the San Antonio Spurs, of which organization?",National Basketball Association (NBA)
938,Fred Mundee attended the public high school that was built in what year?,1909
939,"Are Beyazıt Tower and Miniatürk both in Istanbul, Turkey?",yes
940,Which happened first Battle of Okinawa or Operation Nordwind ?,Operation North Wind
941,Ezhou and Yangzhong are both cities in what country?,China
942,The 2016 Baylor Bears football team were invited to what event when they defeated the 2016 Boise State Broncos?,Cactus Bowl
943,The sauce that fills a BiFi Carazza is referred to as what by Italians?,Salsa di pomodoro
944,What is the urdu name of Afghan citizens living as refugee in a country other than Iran?,Afghan Muhajreen
945,Which brand shop in Beverly Center is based in Maranello ?,Ferrari
946,"Editors and Working for a Nuclear Free City, is of which nationality?",English
947,Into the Labyrinth was only was later shown in the United States as part of a program whose featurettes focused on characters with what?,psychic abilities
948,Talking Smack is an American talk show whose past hosts have included the current Intercontinental Champion in his what?,seventh reign
949,David J. Wineland was awarded the 2012 Nobel Prize in Physics jointly with which French physicist known for a study of the particle of light?,Serge Haroche
950,When did the event Rue d'Alésia is named for take place?,"September, 52 BC"
951,In what Australian city did the United States ship supplies in 1943 as part of the Lend-lease policy during WWII,Sydney
952,Eric Jacobson performed the Muppet character who was part of what fictional band?,Dr. Teeth and The Electric Mayhem
953,How many caps for England did Lee Devonshire's son win ?,eight
954,When was the by-election of a constituency represented in the House of Commons of the UK Parliament since 2010 by David Rutley held on?,30 September 1971
955,Lucy Elizabeth Fry played the lead in a television series that follows Eve who is a 19-year-old what?,American tourist
956,"Jasminum multipartitum is native to what landlocked country located in southern Africa, between the Zambezi and Limpopo Rivers?",Zimbabwe
957,At which age Audrey Kathryn Lindvall's super model sister was discover by IMG scout?,14 years old
958,What is the fifth studio album by English musician George Harrison released as the follow-up to The album that was certified gold by the Recording Industry Association of America two days after release?,Dark Horse
959,"What type of film are ""Transparent"" and ""Werner Herzog Eats His Shoe""?",documentary
960,What year did the famous amusement park across the street from Axeltory open?,1843
961,"What band was formed earlier, Better Than Ezra or the Melvins?",The Melvins
962,"What is the nickname of the host for which ""Winner Take All"" is best known?","""Dean of Game Show Hosts"""
963,Steve Peterson appeared as which character in a Shakespeare comedy written for the close of the Christmas season?,Aguecheek
964,Hoosier Lottery includes the sale of the lottery game offered by how many states?,44
965,Were the documentaries The Mosuo Sisters and Quantum Hoops released in the same year?,no
966,BLIZZARD! The Storm That Changed America was about the storm also referred to as what?,Great White Hurricane
967,Emilio Botin was a banker that ran an institution that merged with what group?,Santander Group
968,"Which actress, model, and singer born in 1926 does the film Golden Hoofs star?",Jane Withers
969,"What is the 2011 census population of this village and civil parish in Lincolnshire, England, where High Dyke road runs between it and Colsterworth?","1,647"
970,Morning glory and Sorbus are both a genus of plants?,yes
971,Where is the Peace Palace Library located?,"It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice"
972,Where was the actress who starred in Trishna with Riz Ahmed born?,"Mumbai, India"
973,"The song ""Boom"" features an artist born on January 17, 1971 with what legal name?",Jonathan Smith
974,Are Camassia and Chelone both native to North America?,yes
975,What type of band did a cover of a single that sold two million copies from 1969 to 1970?,English glam rock band
976,Are the University of West Florida and FH Joanneum both American Universities ?,no
977,When was the director of King of the Dancehall born?,"October 8, 1980"
978,WERT is a radio station that is broadcast from it studios on what transcontinental highway?,Lincoln Highway
979,"What is a song from the 1966 Broadway musical with music by Cy Coleman, lyrics by Dorothy Fields and book by Neil Simon directed and choreographed for Broadway by Bob Fosse starring his wife and muse Gwen Verdon alongside John McMartin, in which the character of Charity reflects on her marvellous luck as she spends time with Vittorio ?",If My Friends Could See Me Now
980,"What type od dance music inspired the band, ""The Kabalas""?",Polka
981,Plastic is a British-American action comedy-crime film starring an English actress best known for playing the role of Hannah Ashworth in what long-running soap opera?,Hollyoaks
982,"What show created by Michael G. Moye and Ron Leavitt aired on May 2, 2006 in Chile?",Married... with Children
983,In what year was the adventure film depicting the English sea captain and privateer of the Elizabethan era released?,1962
984,What film company produced The Littlest Outlaw and The Jungle Book?,Walt Disney
985,Westfield Culver City is owned by what Australian shopping centre company that existed from 1960 to 2014,Westfield Group
986,What country holds both Fetteresso Castle and Cowie Castle?,Scotland
987,Who was the two time Walter Camp Coach of the Year winner who led the 2000 Oklahoma Sooners to an Orange Bowl victory?,Bob Stoops
988,The Chase is hosted by an actress who began her television career in what Spanish-American teen sitcom?,"""Out of the Blue"""
989,Bob Scucci was the former Assistant Race and Sports Book Manager at what casino resort located on 63 acres along the Las Vegas Strip?,Stardust Resort and Casino
990,"The 1920 NCAA football season had no clear-cut champion, with the ""Official NCAA Division I Football Records Book"" listing California, Georgia, Harvard, Notre Dame, and Princeton as national champions, Notre Dame was led by its first Walter Camp All-American, nicknamed ""The Gipper"", who died before the year was over, his name?",George Gipp
991,Are Onew and Judith Durham both singers?,yes
992,"Who co- satrred with the actor who starred in several television series over more than five decades, including such popular roles as Bret Maverick in a 1959 episode of the Western comedy television series where A mean killer becomes jealous?",Clint Eastwood
993,"Shanghai Noon was the directorial debut of an American film director whose other credits include Showtime, Failure to Launch, and what other film?",Marmaduke
994,"What Chicago gang were Charles ""Chuckie"" Anthony Nicoletti and Salvatore ""Mooney Sam"" Giancana, better known as Sam Giancana, apart of?",Outfit
995,Peter Thomas Ward played for a team that was offically renamed in what year?,1913
996,Which author of Superman: The Wedding Album is known for creating the superhero Booster Gold?,Dan Jurgens
997,"Which musician was born first, John Tardy or Tom Barman?",John Tardy
998,The Wrekin is a hill that can be seen even as far as a landmark 47-storey mixed use skyscraper that is how tall?,554 ft
999,Party Never Ends is an album by the Romanian singer who studied at what college?,Ovidius University
1000,Who is the artist of The Scarlet Letter and debdebuted on the music scene as Missy Elliott's protégée?,Cynthia Karen Loving
